Date,Open,High,Low,Close,Adj Close,Volume,company
2017-07-07,714.725098,741.843079,713.239197,738.574036,719.664612,16542604,RELIANCE.NS
2017-07-10,740.530518,743.403259,737.558655,739.416077,720.485107,1617344,RELIANCE.NS
2017-07-11,743.45282,745.136841,736.518555,740.159058,721.209045,9689441,RELIANCE.NS
2017-07-12,742.660339,755.340149,741.719238,748.455383,729.292969,7893715,RELIANCE.NS
2017-07-13,747.291443,755.340149,746.003601,753.903748,739.988586,10619232,RELIANCE.NS
2017-07-14,752.863586,760.788513,750.659485,759.674072,745.652344,9474992,RELIANCE.NS
2017-07-17,761.283813,772.477661,761.283813,768.589539,754.40332,8652868,RELIANCE.NS
2017-07-18,766.137756,768.614319,748.405884,752.814087,738.919006,9063934,RELIANCE.NS
2017-07-19,749.198364,761.779114,749.198364,759.277832,745.263489,5441174,RELIANCE.NS
2017-07-20,762.645874,767.722778,754.696228,757.27179,743.294495,6288420,RELIANCE.NS
2017-07-21,767.722778,788.376953,765.221436,785.058411,770.568237,44831188,RELIANCE.NS
2017-07-24,792.487976,804.821106,785.058411,800.041382,785.274597,20042658,RELIANCE.NS
2017-07-25,804.722046,804.845886,791.299255,793.552917,778.905945,9259100,RELIANCE.NS
2017-07-26,794.568298,807.297607,793.032837,803.756165,788.920837,10131916,RELIANCE.NS
2017-07-27,806.356567,808.090088,786.717712,789.912415,775.332642,8495918,RELIANCE.NS
2017-07-28,788.154114,795.435059,781.591309,789.739075,775.162537,6614152,RELIANCE.NS
2017-07-31,793.453857,801.799744,790.506775,800.016663,785.250366,7645862,RELIANCE.NS
2017-08-01,803.756165,803.756165,788.277893,794.271118,779.61084,5681949,RELIANCE.NS
2017-08-02,797.44104,810.17041,796.5,806.950928,792.056702,9592846,RELIANCE.NS
2017-08-03,805.786926,824.633301,800.932983,817.302795,802.217407,9094953,RELIANCE.NS
2017-08-04,823.6922,823.6922,799.967102,803.458984,788.62915,8574605,RELIANCE.NS
2017-08-07,808.139648,808.139648,798.704102,800.586243,785.809448,4401364,RELIANCE.NS
2017-08-08,801.403503,802.914185,785.949951,793.751038,779.100403,5058636,RELIANCE.NS
2017-08-09,793.230957,802.394104,785.058411,791.893616,777.277283,4816513,RELIANCE.NS
2017-08-10,789.045654,795.781799,781.566528,784.736511,770.252197,4701836,RELIANCE.NS
2017-08-11,768.193298,782.581909,759.302551,765.865356,751.729431,7843781,RELIANCE.NS
2017-08-14,773.171082,784.810791,773.171082,779.139526,764.758545,6202842,RELIANCE.NS
2017-08-16,778.619446,780.600708,767.821838,775.697144,761.3797,6265622,RELIANCE.NS
2017-08-17,777.133545,791.324036,773.245422,776.192444,761.865906,7304951,RELIANCE.NS
2017-08-18,774.657043,781.492249,769.282959,780.303528,765.901062,3662412,RELIANCE.NS
2017-08-21,781.096008,784.637451,772.799622,774.855164,760.553284,3495195,RELIANCE.NS
2017-08-22,778.619446,782.532349,770.71936,772.700562,758.438416,4399773,RELIANCE.NS
2017-08-23,775.078064,785.826172,769.282959,783.59729,769.134033,3839702,RELIANCE.NS
2017-08-24,787.534973,789.070374,774.904663,776.663025,762.327759,5839979,RELIANCE.NS
2017-08-28,782.111389,783.547729,773.270142,775.920044,761.598511,5684028,RELIANCE.NS
2017-08-29,773.592102,776.390564,757.81665,758.881531,744.874512,6998558,RELIANCE.NS
2017-08-30,766.509277,777.034485,763.388855,774.706543,760.407349,4769560,RELIANCE.NS
2017-08-31,780.105408,791.224976,779.610046,789.763855,775.186768,11585780,RELIANCE.NS
2017-09-01,792.413696,800.710083,791.992676,797.490601,782.770935,7121827,RELIANCE.NS
2017-09-04,800.165222,810.393311,790.432495,799.100342,784.350952,9950182,RELIANCE.NS
2017-09-05,807.347168,809.74939,802.914185,808.634949,793.709656,11637538,RELIANCE.NS
2017-09-06,805.564087,818.491516,803.780945,814.974854,799.932434,22496263,RELIANCE.NS
2017-09-07,815.272034,824.682861,807.347168,810.41803,795.459717,7478761,RELIANCE.NS
2017-09-08,812.300232,815.519714,804.474365,809.229309,794.292908,6114140,RELIANCE.NS
2017-09-11,813.588013,819.085876,808.882629,810.21991,795.26532,5856706,RELIANCE.NS
2017-09-12,815.024353,817.253235,809.328369,816.015015,800.95343,2999837,RELIANCE.NS
2017-09-13,816.262634,851.825562,814.281433,841.027893,825.504578,13557530,RELIANCE.NS
2017-09-14,847.764038,853.410522,834.093628,835.92627,820.497131,5476914,RELIANCE.NS
2017-09-15,834.093628,844.841736,826.911682,833.895508,818.503845,13196770,RELIANCE.NS
2017-09-18,842.018494,843.058655,835.183289,837.610291,822.150085,2336110,RELIANCE.NS
2017-09-19,840.730713,840.780273,829.140564,830.725525,815.392456,3562177,RELIANCE.NS
2017-09-20,848.061218,864.307251,837.16449,839.195251,823.705811,11511053,RELIANCE.NS
2017-09-21,839.046692,843.702515,828.397644,833.449707,818.066345,5976672,RELIANCE.NS
2017-09-22,832.013367,832.013367,805.564087,809.724609,794.779175,5673719,RELIANCE.NS
2017-09-25,807.347168,820.175537,797.63916,813.835632,798.81427,6566972,RELIANCE.NS
2017-09-26,813.984253,819.283997,804.573425,812.399292,797.40448,4875350,RELIANCE.NS
2017-09-27,817.847595,817.946655,788.030273,791.645996,777.034241,8514143,RELIANCE.NS
2017-09-28,792.141296,795.360779,772.873901,779.065247,764.685608,13636223,RELIANCE.NS
2017-09-29,784.315491,785.949951,771.784241,773.567383,759.289307,7691452,RELIANCE.NS
2017-10-03,787.534973,796.30188,777.975586,790.853516,776.256287,8466559,RELIANCE.NS
2017-10-04,791.695496,817.203735,788.129333,811.161011,796.189026,8725859,RELIANCE.NS
2017-10-05,817.253235,820.670837,810.962891,816.411255,801.342346,4906551,RELIANCE.NS
2017-10-06,816.262634,831.468506,814.875793,829.190125,813.885376,5998431,RELIANCE.NS
2017-10-09,831.121826,831.914307,820.225098,822.85022,807.662476,4084462,RELIANCE.NS
2017-10-10,823.196899,839.343872,823.196899,835.282349,819.865112,6798826,RELIANCE.NS
2017-10-11,837.36261,850.3396,828.149963,832.260986,816.899597,7116625,RELIANCE.NS
2017-10-12,834.192688,868.566833,834.192688,864.554871,848.597351,8603714,RELIANCE.NS
2017-10-13,871.043396,882.336304,865.149231,868.220154,852.195007,9926723,RELIANCE.NS
2017-10-16,870.746216,883.624146,853.212402,868.566833,852.535278,14772250,RELIANCE.NS
2017-10-17,869.755615,875.699219,859.057007,866.139832,850.153076,6414314,RELIANCE.NS
2017-10-18,869.161194,909.280945,866.783752,905.912842,889.191956,16924095,RELIANCE.NS
2017-10-19,907.200623,913.243347,894.520813,901.356018,884.719238,3698813,RELIANCE.NS
2017-10-23,904.327881,935.829285,900.563538,930.925781,913.743225,12670626,RELIANCE.NS
2017-10-24,938.801086,938.801086,919.484192,925.477417,908.395386,6395360,RELIANCE.NS
2017-10-25,931.272461,937.018005,920.771973,931.074341,913.889038,4620435,RELIANCE.NS
