,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-06-14,651.771851,673.614807,651.771851,672.376526,655.161926,24431465
1,2017-06-15,673.614807,690.9505,673.169006,685.477356,667.927307,13056205
2,2017-06-16,688.028198,691.346741,678.22113,687.879578,670.268066,15096065
3,2017-06-19,688.572998,701.252808,688.572998,698.008606,680.137817,7031853
4,2017-06-20,697.884766,704.37323,697.117004,699.544006,681.63385,4680750
5,2017-06-21,697.290405,707.295532,695.532043,704.32373,686.29126,9226522
6,2017-06-22,708.013733,715.913879,707.146973,709.598694,691.431152,10207734
7,2017-06-23,711.257996,714.229797,708.583313,711.183716,692.975525,14372622
8,2017-06-27,709.276794,714.725098,705.809631,711.827576,693.602966,15040990
9,2017-06-28,713.214417,713.214417,691.2229,692.684021,674.949524,7184538
10,2017-06-29,693.427002,698.380066,688.523499,689.811279,672.15033,5952538
11,2017-06-30,689.464539,689.662659,681.069153,683.520935,666.021057,3606284
12,2017-07-03,687.582397,690.80188,679.063171,684.040955,666.52771,4243619
13,2017-07-04,688.473938,706.849792,687.978638,704.29895,686.26709,8683942
14,2017-07-05,708.013733,716.929199,705.314331,714.551758,696.257385,12556953
15,2017-07-06,717.54834,718.192261,712.248596,714.502258,696.209167,6271927
16,2017-07-07,714.725098,741.843079,713.239197,738.574036,719.664612,16542604
17,2017-07-10,740.530518,743.403259,737.558655,739.416077,720.485046,1617344
18,2017-07-11,743.45282,745.136841,736.518555,740.159058,721.209045,9689441
19,2017-07-12,742.660339,755.340149,741.719238,748.455383,729.29303,7893715
20,2017-07-13,747.291443,755.340149,746.003601,753.903748,739.988586,10619232
21,2017-07-14,752.863586,760.788513,750.659485,759.674072,745.652405,9474992
22,2017-07-17,761.283813,772.477661,761.283813,768.589539,754.40332,8652868
23,2017-07-18,766.137756,768.614319,748.405884,752.814087,738.919006,9063934
24,2017-07-19,749.198364,761.779114,749.198364,759.277832,745.263428,5441174
25,2017-07-20,762.645874,767.722778,754.696228,757.27179,743.294434,6288420
26,2017-07-21,767.722778,788.376953,765.221436,785.058411,770.568176,44831188
27,2017-07-24,792.487976,804.821106,785.058411,800.041382,785.274658,20042658
28,2017-07-25,804.722046,804.845886,791.299255,793.552917,778.905945,9259100
29,2017-07-26,794.568298,807.297607,793.032837,803.756165,788.920898,10131916
30,2017-07-27,806.356567,808.090088,786.717712,789.912415,775.332642,8495918
31,2017-07-28,788.154114,795.435059,781.591309,789.739075,775.162537,6614152
32,2017-07-31,793.453857,801.799744,790.506775,800.016663,785.250305,7645862
