,Date,Open,High,Low,Close,Adj Close,Volume
86,2020-10-01,2263.800049,2263.800049,2214.0,2225.25,2218.114502,9591456
87,2020-10-05,2244.0,2249.149902,2206.0,2212.199951,2205.106201,8732869
88,2020-10-06,2225.25,2233.899902,2201.649902,2210.350098,2203.262451,8497216
89,2020-10-07,2235.0,2309.0,2220.0,2257.5,2250.260986,24538346
90,2020-10-08,2259.0,2268.0,2222.100098,2239.25,2232.06958,9727405
91,2020-10-09,2235.0,2253.0,2217.100098,2233.449951,2226.288086,8558745
92,2020-10-12,2235.0,2255.75,2226.25,2237.050049,2229.876709,6565515
93,2020-10-13,2230.600098,2285.75,2225.850098,2280.699951,2273.386719,10666190
94,2020-10-14,2278.899902,2304.0,2268.5,2287.5,2280.164795,12341434
95,2020-10-15,2290.0,2290.0,2195.0,2206.5,2199.424561,9246702
96,2020-10-16,2215.0,2232.5,2172.649902,2175.800049,2168.822998,9960828
97,2020-10-19,2190.050049,2228.699951,2155.149902,2176.199951,2169.22168,14398973
98,2020-10-20,2179.0,2193.0,2152.25,2155.899902,2148.986816,8529573
99,2020-10-21,2168.0,2192.0,2097.75,2124.600098,2117.787354,15728986
100,2020-10-22,2127.399902,2132.5,2091.0,2106.949951,2100.193848,14215215
101,2020-10-23,2106.0,2135.0,2096.399902,2113.050049,2106.274414,10809307
102,2020-10-26,2101.949951,2101.949951,2018.5,2029.099976,2022.593384,17225212
103,2020-10-27,2034.900024,2059.850098,2005.0,2034.5,2027.976196,16835005
104,2020-10-28,2041.800049,2057.699951,2007.400024,2011.449951,2005.0,13809929
105,2020-10-29,1997.0,2042.0,1991.0,2026.900024,2020.400513,14147418
106,2020-10-30,2033.5,2065.100098,2021.800049,2054.5,2047.911987,15700946
107,2020-11-02,2027.0,2027.0,1859.150024,1877.449951,1871.429688,45857806
108,2020-11-03,1890.0,1909.0,1835.099976,1850.400024,1844.466553,40931170
109,2020-11-04,1837.0,1929.0,1837.0,1913.199951,1907.065063,37003111
110,2020-11-05,1954.949951,1960.949951,1932.0,1955.0,1948.731079,17170274
111,2020-11-06,1990.0,2040.0,1978.150024,2029.150024,2022.643311,30770080
112,2020-11-09,2062.100098,2069.0,2036.0,2050.699951,2044.124146,16539467
113,2020-11-10,2077.0,2090.0,2041.199951,2084.550049,2077.865723,17045147
114,2020-11-11,2089.0,2095.0,1978.099976,1997.199951,1990.795654,26178477
115,2020-11-12,1981.0,2008.449951,1965.0,1980.0,1973.650879,18481466
116,2020-11-13,1982.0,2036.650024,1981.75,1996.400024,1989.998291,20946864
117,2020-11-14,2014.900024,2015.300049,1995.349976,2002.300049,1995.879395,2411900
118,2020-11-17,2085.0,2085.0,1985.0,1993.25,1986.858398,21479385
119,2020-11-18,1993.25,2006.5,1960.099976,1987.199951,1980.827759,14030652
120,2020-11-19,1987.199951,2010.449951,1968.199951,1973.150024,1966.822876,12828008
121,2020-11-20,1975.0,1983.800049,1895.0,1899.5,1893.409058,26522972
122,2020-11-23,1951.0,1970.0,1926.25,1950.699951,1944.444824,20918665
123,2020-11-24,1964.0,1974.0,1932.0,1964.050049,1957.752075,14277083
124,2020-11-25,1980.0,1992.949951,1942.199951,1947.800049,1941.554199,15062376
125,2020-11-26,1953.050049,1965.0,1930.050049,1952.599976,1946.338745,11924527
126,2020-11-27,1940.5,1956.099976,1921.400024,1929.800049,1923.611938,21845931
127,2020-12-01,1940.349976,1966.25,1930.050049,1954.900024,1948.63147,9114939
128,2020-12-02,1958.5,1962.0,1935.0,1958.150024,1951.870972,10240168
129,2020-12-03,1972.0,1981.099976,1958.650024,1964.050049,1957.752075,12822945
130,2020-12-04,1969.0,1969.0,1940.0,1946.75,1940.507568,8521388
131,2020-12-07,1940.599976,1965.0,1940.599976,1958.199951,1951.920776,8418767
132,2020-12-08,1961.150024,2014.25,1950.0,1993.75,1987.356812,20030506
133,2020-12-09,2009.949951,2033.800049,1999.25,2026.949951,2020.450317,13464375
134,2020-12-10,2021.599976,2028.5,2001.0,2007.0,2000.564331,7414229
135,2020-12-11,2013.0,2038.0,1974.25,2005.800049,1999.368286,12434745
136,2020-12-14,2007.949951,2015.0,1986.349976,1991.300049,1984.914673,7989830
137,2020-12-15,1989.699951,1989.699951,1961.099976,1974.349976,1968.019043,8561406
138,2020-12-16,1988.0,1994.949951,1965.699951,1976.550049,1970.212036,8565904
139,2020-12-17,1984.5,2005.0,1977.150024,1985.599976,1979.23291,9346460
140,2020-12-18,1980.099976,2004.900024,1965.0,1991.550049,1985.16394,8522215
141,2020-12-21,2010.0,2022.0,1855.25,1939.699951,1933.480103,20368545
142,2020-12-22,1949.0,1958.900024,1888.449951,1936.699951,1930.489746,12986606
143,2020-12-23,1930.0,1951.449951,1920.650024,1943.849976,1937.616821,8999898
144,2020-12-24,1947.0,1998.800049,1945.900024,1994.150024,1987.755615,9588577
145,2020-12-28,2006.699951,2018.0,1995.300049,2003.300049,1996.876221,7947719
146,2020-12-29,2009.0,2012.300049,1982.550049,1990.050049,1983.668701,8589407
147,2020-12-30,1995.25,2007.199951,1975.550049,1995.5,1989.101196,10173132
148,2020-12-31,1993.5,2011.900024,1978.599976,1985.300049,1978.93396,8667516
149,2021-01-01,1988.0,1997.0,1982.0,1987.5,1981.126831,4622002
150,2021-01-04,1995.099976,1998.900024,1968.0,1990.849976,1984.466064,11312992
151,2021-01-05,1969.0,1983.599976,1956.0,1966.099976,1959.79541,11132803
152,2021-01-06,1965.900024,1966.0,1905.150024,1914.25,1908.111694,21414270
153,2021-01-07,1920.5,1945.0,1905.150024,1911.150024,1905.021729,14918406
154,2021-01-08,1918.0,1938.400024,1912.099976,1933.699951,1927.499268,12709792
155,2021-01-11,1938.800049,1938.800049,1892.5,1897.25,1891.16626,15371556
156,2021-01-12,1903.0,1960.0,1899.900024,1957.050049,1950.774536,18996047
157,2021-01-13,1963.550049,1974.949951,1918.449951,1938.800049,1932.58313,12284876
158,2021-01-14,1945.0,1966.900024,1939.050049,1960.599976,1954.31311,9946818
159,2021-01-15,1960.599976,1973.800049,1920.050049,1937.449951,1931.237305,9503790
160,2021-01-18,1949.099976,1997.0,1923.349976,1983.949951,1977.588257,16198856
161,2021-01-19,1994.650024,2031.0,1994.650024,2016.400024,2009.934204,14771048
162,2021-01-20,2021.400024,2058.0,2001.400024,2054.699951,2048.111328,14271669
163,2021-01-21,2082.0,2120.0,2075.0,2099.399902,2092.667969,18038987
164,2021-01-22,2111.0,2115.350098,2035.150024,2049.600098,2043.027832,14090818
165,2021-01-25,2034.949951,2034.949951,1932.0,1941.0,1934.776001,25016570
166,2021-01-27,1925.0,1925.0,1888.0,1895.0,1888.923462,19553809
167,2021-01-28,1880.150024,1923.300049,1870.0,1876.550049,1870.532715,15722291
168,2021-01-29,1894.300049,1913.099976,1830.0,1841.949951,1836.043579,20173258
169,2021-02-01,1859.400024,1905.0,1848.0,1895.300049,1889.222534,15774504
170,2021-02-02,1914.25,1940.0,1854.949951,1925.800049,1919.624756,19138414
171,2021-02-03,1928.300049,1952.0,1900.0,1930.650024,1924.459229,13984228
172,2021-02-04,1924.0,1940.0,1905.0,1924.300049,1918.129517,11826848
173,2021-02-05,1930.050049,1944.650024,1920.0,1923.75,1917.581299,9344470
174,2021-02-08,1933.050049,1969.0,1929.050049,1951.449951,1945.192383,9776136
175,2021-02-09,1961.949951,1989.599976,1952.300049,1956.150024,1949.877441,9047308
176,2021-02-10,1953.75,1984.75,1927.300049,1974.300049,1967.969238,9799560
177,2021-02-11,1980.0,2064.199951,1972.25,2055.699951,2049.108154,19631870
178,2021-02-12,2055.5,2078.0,2015.400024,2041.599976,2035.053345,14074374
179,2021-02-15,2048.050049,2061.300049,2025.0,2032.599976,2026.082275,7287590
180,2021-02-16,2039.75,2079.399902,2035.0,2059.5,2052.895996,9886093
181,2021-02-17,2060.0,2095.949951,2050.600098,2083.25,2076.569824,10957388
182,2021-02-18,2085.0,2108.399902,2059.100098,2067.699951,2061.06958,8605531
183,2021-02-19,2057.0,2104.949951,2053.300049,2080.300049,2073.629395,10800704
184,2021-02-22,2080.0,2089.899902,1994.949951,2008.099976,2001.660767,10985697
185,2021-02-23,2048.0,2052.899902,2013.599976,2023.449951,2016.961548,11834752
186,2021-02-24,2030.0,2065.25,2026.150024,2061.0,2054.391113,4987735
187,2021-02-25,2076.0,2152.0,2073.0,2144.350098,2137.474121,16085897
188,2021-02-26,2117.0,2133.899902,2070.699951,2085.800049,2079.111816,17297575
189,2021-03-01,2110.199951,2112.0,2062.5,2101.699951,2094.960693,8159670
190,2021-03-02,2122.0,2130.0,2089.100098,2106.0,2099.246826,7915073
191,2021-03-03,2121.050049,2219.899902,2107.199951,2202.100098,2195.038818,14733134
192,2021-03-04,2180.0,2189.949951,2157.699951,2175.850098,2168.873047,9892597
193,2021-03-05,2156.0,2211.949951,2153.050049,2178.699951,2171.713623,11773630
194,2021-03-08,2168.5,2231.899902,2168.0,2191.100098,2184.073975,9002404
195,2021-03-09,2200.0,2213.800049,2146.600098,2191.050049,2184.02417,6993792
196,2021-03-10,2207.0,2215.100098,2170.25,2181.949951,2174.953369,5316182
197,2021-03-12,2195.0,2206.399902,2123.899902,2137.600098,2130.745605,7783173
198,2021-03-15,2140.050049,2148.899902,2080.5,2108.899902,2102.137451,7706170
199,2021-03-16,2114.0,2126.0,2095.5,2100.600098,2093.864258,6402757
200,2021-03-17,2098.050049,2103.0,2035.099976,2055.350098,2048.759277,8865521
201,2021-03-18,2072.899902,2084.800049,2001.0,2009.099976,2002.657593,9528809
202,2021-03-19,1991.0,2095.850098,1982.800049,2082.0,2075.32373,19284892
203,2021-03-22,2071.0,2074.0,2033.199951,2062.399902,2055.786621,8571196
204,2021-03-23,2061.949951,2109.699951,2056.0,2087.5,2080.806152,8039865
205,2021-03-24,2079.75,2079.75,2040.400024,2047.300049,2040.735107,7763726
206,2021-03-25,2054.0,2054.0,1985.0,1991.449951,1985.064087,10153757
207,2021-03-26,2012.0,2013.699951,1973.699951,1994.650024,1988.253906,9313160
208,2021-03-30,2008.0,2048.899902,1991.550049,2029.300049,2022.792847,9433842
209,2021-03-31,2018.0,2049.899902,1999.0,2003.099976,1996.676758,7499740
210,2021-04-01,2018.0,2030.0,2003.150024,2021.849976,2015.366699,5410307
211,2021-04-05,2024.949951,2025.0,1962.099976,1992.599976,1986.210449,6864856
212,2021-04-06,2004.0,2004.949951,1969.0,1984.300049,1977.937134,6465241
213,2021-04-07,2000.0,2046.900024,1993.300049,2002.849976,1996.427612,11198918
214,2021-04-08,2011.0,2022.0,1993.0,2005.349976,1998.919556,7092878
215,2021-04-09,1998.449951,2006.349976,1980.0,1982.050049,1975.694336,6478482
216,2021-04-12,1959.0,1961.400024,1900.25,1911.150024,1905.021729,9646031
217,2021-04-13,1924.0,1940.599976,1917.849976,1931.800049,1925.605469,8958261
218,2021-04-15,1926.300049,1961.0,1913.0,1944.300049,1938.06543,9102492
219,2021-04-16,1936.599976,1949.900024,1926.449951,1932.099976,1925.904541,7225679
220,2021-04-19,1904.0,1916.400024,1890.0,1901.699951,1895.601929,8527967
221,2021-04-20,1910.5,1919.0,1890.449951,1901.150024,1895.053833,7939490
222,2021-04-22,1892.25,1914.449951,1876.699951,1906.400024,1900.286987,6687573
223,2021-04-23,1906.0,1918.900024,1895.349976,1904.349976,1898.243408,5459016
224,2021-04-26,1920.0,1962.0,1911.5,1937.849976,1931.635986,9620785
225,2021-04-27,1940.0,1997.199951,1938.25,1988.650024,1982.273193,9226547
226,2021-04-28,1997.849976,2008.0,1980.150024,1997.300049,1990.895508,7902002
227,2021-04-29,2022.900024,2044.5,2007.300049,2024.050049,2017.559692,8035915
228,2021-04-30,2008.5,2036.0,1987.550049,1994.5,1988.10437,9150974
229,2021-05-03,1966.0,1979.0,1943.099976,1959.050049,1952.768188,10909942
230,2021-05-04,1950.0,1967.800049,1911.0,1916.599976,1910.454224,10083693
231,2021-05-05,1923.349976,1938.5,1908.050049,1920.099976,1913.942993,5719649
232,2021-05-06,1921.849976,1935.0,1906.599976,1931.0,1924.807983,6749281
233,2021-05-07,1937.75,1955.650024,1926.0,1931.75,1925.555664,5671163
234,2021-05-10,1939.0,1946.800049,1920.949951,1926.199951,1920.023438,6433879
235,2021-05-11,1915.0,1938.550049,1910.0,1933.150024,1926.951172,6220217
236,2021-05-12,1930.099976,1932.900024,1907.0,1913.150024,1907.015259,6081627
237,2021-05-14,1928.050049,1942.0,1906.0,1937.300049,1931.087891,6134079
238,2021-05-17,1937.300049,1963.449951,1930.400024,1960.349976,1954.063843,5479424
239,2021-05-18,1981.0,2002.599976,1972.5,1987.949951,1981.575317,5567958
240,2021-05-19,1980.0,2016.449951,1972.0,1997.050049,1990.64624,7530294
241,2021-05-20,1997.900024,2010.900024,1981.0,1985.400024,1979.033569,5271497
242,2021-05-21,1992.0,2009.599976,1986.0,2002.550049,1996.128662,4977555
243,2021-05-24,2008.0,2009.800049,1982.0,1985.650024,1979.282837,3946636
244,2021-05-25,1996.400024,1997.0,1960.0,1963.150024,1956.85498,6821015
245,2021-05-26,1975.0,1979.5,1965.300049,1970.050049,1963.73291,3452113
246,2021-05-27,1970.300049,1993.0,1962.25,1976.099976,1969.763428,12377100
247,2021-05-28,1990.0,2105.0,1990.0,2094.800049,2088.082764,26060864
248,2021-05-31,2102.0,2191.699951,2085.050049,2160.300049,2153.372803,27285782
249,2021-06-01,2166.0,2202.0,2146.5,2168.899902,2161.945068,12928379
250,2021-06-02,2157.0,2209.5,2157.0,2201.25,2194.191406,11366816
251,2021-06-03,2221.0,2250.0,2196.100098,2209.649902,2202.564453,11064116
252,2021-06-04,2214.800049,2216.449951,2184.25,2190.5,2183.47583,6677278
253,2021-06-07,2202.0,2242.0,2185.0,2227.399902,2220.257568,7539326
254,2021-06-08,2226.600098,2227.149902,2198.149902,2214.600098,2207.498779,4464889
255,2021-06-09,2219.0,2221.0,2157.949951,2175.0,2168.025635,5265326
256,2021-06-10,2193.399902,2230.0,2177.550049,2183.0,2176.0,6532832
257,2021-06-11,2182.899902,2228.0,2180.100098,2213.149902,2213.149902,6351520
258,2021-06-14,2215.0,2258.25,2195.050049,2244.899902,2244.899902,9383416
259,2021-06-15,2261.0,2274.899902,2240.300049,2250.0,2250.0,7002898
260,2021-06-16,2244.899902,2247.050049,2205.850098,2211.600098,2211.600098,4982975
261,2021-06-17,2200.0,2235.0,2179.899902,2215.649902,2215.649902,7266765
262,2021-06-18,2225.5,2235.0,2184.350098,2225.649902,2225.649902,13553801
