Date,Close,Company,Open,High,Low,Adj Close,Volume
2017-07-20,757.27179,RELIANCE.NS,,,,,
2017-07-21,785.058411,RELIANCE.NS,,,,,
2017-07-24,800.041382,RELIANCE.NS,,,,,
2017-07-25,793.552917,RELIANCE.NS,,,,,
2017-07-26,803.756165,RELIANCE.NS,794.568298,807.297607,793.032837,788.920837,10131916.0
2017-07-27,789.912415,RELIANCE.NS,806.356567,808.090088,786.717712,775.332581,8495918.0
2017-07-28,789.739075,RELIANCE.NS,788.154114,795.435059,781.591309,775.162476,6614152.0
2017-07-31,800.016663,RELIANCE.NS,793.453857,801.799744,790.506775,785.250366,7645862.0
2017-08-01,794.271118,RELIANCE.NS,803.756165,803.756165,788.277893,779.61084,5681949.0
2017-08-02,806.950928,RELIANCE.NS,797.44104,810.17041,796.5,792.05658,9592846.0
2017-08-03,817.302795,RELIANCE.NS,805.786926,824.633301,800.932983,802.217407,9094953.0
2017-08-04,803.458984,RELIANCE.NS,823.6922,823.6922,799.967102,788.629089,8574605.0
2017-08-07,800.586243,RELIANCE.NS,808.139648,808.139648,798.704102,785.809448,4401364.0
2017-08-08,793.751038,RELIANCE.NS,801.403503,802.914185,785.949951,779.100403,5058636.0
2017-08-09,791.893616,RELIANCE.NS,793.230957,802.394104,785.058411,777.277283,4816513.0
2017-08-10,784.736511,RELIANCE.NS,789.045654,795.781799,781.566528,770.252197,4701836.0
2017-08-11,765.865356,RELIANCE.NS,768.193298,782.581909,759.302551,751.729309,7843781.0
2017-08-14,779.139526,RELIANCE.NS,773.171082,784.810791,773.171082,764.758545,6202842.0
2017-08-16,775.697144,RELIANCE.NS,778.619446,780.600708,767.821838,761.379761,6265622.0
2017-08-17,776.192444,RELIANCE.NS,777.133545,791.324036,773.245422,761.865845,7304951.0
2017-08-18,780.303528,RELIANCE.NS,774.657043,781.492249,769.282959,765.901123,3662412.0
2017-08-21,774.855164,RELIANCE.NS,781.096008,784.637451,772.799622,760.553284,3495195.0
2017-08-22,772.700562,RELIANCE.NS,778.619446,782.532349,770.71936,758.438416,4399773.0
2017-08-23,783.59729,RELIANCE.NS,775.078064,785.826172,769.282959,769.134033,3839702.0
