Date,Actual_Close,Predicted_Close,Predicted_Close_Minimum,Predicted_Close_Maximum,Percent_Change_from_Close,Actual_Up_Down,Predicted_Up_Down,Company
2022-08-10,2418.850098,2454.950655,2375.221259,2530.576585,-1.492467727,Up,Up,RELIANCE.NS
2022-08-11,2363.449951,2443.958408,2364.007963,2525.946137,-3.406395672,Down,Down,RELIANCE.NS
2022-08-12,2633.0,2642.406058,2569.560093,2719.358162,-0.357237295,Up,Up,RELIANCE.NS
2022-08-16,2651.300049,2703.196771,2618.901728,2780.01842,-1.957406594,Up,Up,RELIANCE.NS
2022-08-17,2665.149902,2688.765715,2602.545472,2769.231539,-0.886096974,Up,Down,RELIANCE.NS
2022-08-18,2661.300049,2649.67217,2571.017061,2733.707133,-0.004369247655622,Down,Down,RELIANCE.NS
2022-08-19,2613.850098,2679.871152,2600.418993,2764.879749,-2.525816402,Down,Up,RELIANCE.NS
2022-08-22,2606.600098,2698.192594,2612.87771,2779.529213,-3.513868365,Down,Up,RELIANCE.NS
2022-08-23,2646.800049,2727.527052,2660.137597,2793.75306,-3.049984944,Up,Up,RELIANCE.NS
2022-08-24,2639.75,2724.804271,2657.12424,2796.033401,-3.222057819,Down,Down,RELIANCE.NS
2022-08-25,2646.25,2715.322155,2645.678274,2782.273298,-2.61019009,Up,Down,RELIANCE.NS
2022-08-26,2618.0,2719.001155,2651.63996,2787.510064,-3.857950921,Down,Up,RELIANCE.NS
2022-08-29,2597.649902,2787.004052,2715.264194,2858.870617,-7.289440748,Down,Up,RELIANCE.NS
2022-08-30,2637.949951,2814.222305,2739.926542,2882.15159,-6.682172031,Up,Up,RELIANCE.NS
2022-09-01,2560.399902,2810.318502,2734.394852,2880.199413,-9.7609205423255,Down,Down,RELIANCE.NS
2022-09-02,2548.449951,2799.9579418416824,2731.5053744556394,2871.520017880675,-9.86905749288864,Down,Down,RELIANCE.NS
2022-09-03,,2858.250747454866,2787.724081861508,2932.5015094510973,,nan,Up,RELIANCE.NS
2022-09-05,2571.0,2857.2002631006303,2786.3752369919234,2933.5559103341584,-11.131865542614948,Down,Down,RELIANCE.NS
2022-09-06,2596.850098,2853.62541312471,2770.879255119824,2927.763253428568,0.0988795292121286,Up,Down,RELIANCE.NS
2022-09-07,2582.050049,2887.9337746084752,2813.250509102465,2955.252412208022,-11.846545179360128,Down,Up,RELIANCE.NS
2022-09-08,2585.399902,2913.052225249716,2832.603934529214,2993.907699520511,0.1267317767731994,Up,Up,RELIANCE.NS
2022-09-09,2569.300049,2902.112093018966,2823.80494182558,2989.4009264298,-12.95341290124912,Down,Down,RELIANCE.NS
2022-09-12,2598.050049,2988.289505130608,2905.053694736371,3074.253605411532,-15.020474924292278,Up,Up,RELIANCE.NS
2022-09-13,2622.449951,3007.6774232647704,2928.0690054585225,3091.116183989593,-14.689602450482392,Up,Up,RELIANCE.NS
